Query,Algorithm,Count,Time,WCOJTime,copy,mat
Clique(3),WCOJ,000000188.705,003.45,000.49,000.01,002.50
Clique(4),WCOJ,000000047.824,006.21,001.25,000.00,004.55
Clique(5),WCOJ,000000007.064,010.40,002.32,-00.00,007.60
Clique(3),sbin,000000188.705,003.08,000.00,000.00,000.00
Clique(4),sbin,000000047.824,003.85,000.00,000.00,000.00
Clique(5),sbin,000000007.064,004.22,000.00,000.00,000.00
House,WCOJ,00002.941.664,12.72,5.66,0.12,6.06
House,sbin,00002.941.664,7.87,0.00,0.00,0.00
Kite,WCOJ,000000220.637,8.12,1.04,0.01,6.72
Kite,sbin,000000220.637,3.82,0.00,0.00,0.00
Cycle(4),sbin,00003.076.324,004.90,000.00,000.00,000.00
Cycle(5),sbin,00006.389.425,013.15,000.00,000.00,000.00
Cycle(6),sbin,00011.682.732,038.00,000.00,000.00,000.00
Cycle(4),WCOJ,00003.076.324,006.58,002.75,000.13,003.27
Cycle(5),WCOJ,00006.389.425,013.89,008.28,000.28,004.59
Cycle(6),WCOJ,00011.682.732,035.52,027.62,000.53,006.26
Path-3-0.001,WCOJ,000000002.092,1.36,0.01,-0.00,0.89
Path-3-0.001,sbin,000000002.092,1.36,0.00,0.00,0.00
Path-4-0.001,WCOJ,000000008.829,2.03,0.03,-0.00,1.58
Path-4-0.001,sbin,000000008.829,3.11,0.00,0.00,0.00
